title,price,specification,image_link
Lenovo IdeaPad 1 - 14IGL7,"Rs 73,500.00","Intel Pentium Latest Gen 1.1 / 3.0 Ghz, 14"" Screen, 4 GB RAM, 128 GB eMMC, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 2.87 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Dell Vostro 14 - 3400,"Rs 109,500.00","Intel Core i3 11th Gen 1.7 / 4.1 Ghz, 14"" Screen, 8 GB RAM, 1 TB HDD, Intel Integrated Graphics, No Optical Drive, DOS, 3.51 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo Ideapad 3 - 15ITL6,"Rs 114,500.00","Intel Core i3 11th Gen 1.7 / 4.1 Ghz, 15.6"" Screen, 8 GB RAM, 256 GB SSD, Fingerprint, Intel Integrated Graphics, No Optical Drive, DOS, 3.63 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
HP Notebook 15s - FQ5004nia,"Rs 114,500.00","Intel Core i3 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.72 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo ThinkBook - 15 G2 i3,"Rs 114,500.00","Intel Core i3 11th Gen 1.7 / 4.1 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.75 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Asus Vivobook X1402ZA-EB312WS,"Rs 114,500.00","Intel Core i3 12th Gen14.1"" Screen, 8 GB RAM, 512 GB SSD, Fingerprint, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 3.31 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Notebook 15 - FQ5000nia,"Rs 114,500.00","Intel Core i3 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.858 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo V15 - G3 i3,"Rs 114,500.00","Intel Core i3 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.75 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Dell Vostro 15 - 3510,"Rs 114,900.00","Intel Core i3 11th Gen 1.7 / 4.1 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.72 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Dell Vostro 14 - 3400 UG,"Rs 115,900.00","Intel Core i3 11th Gen 1.7 / 4.1 Ghz, 14"" Screen, 8 GB RAM, 1 TB HDD + 256GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.51 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
